comments_id,comment-date,comment-author,comment,comment-likes,video-id,video-title,video-date,video-link,video-likes,video-views,video-channel,video-comment-count,final_type,transformed_comment
24.Ugzn09HMGwgDaSN_XeJ4AaABAg,2021-02-18T16:46:55Z,momentos da tata,Ouvi dizer que os celulares xiomi não baixa a Netflix é verdade?,0,AIPNojToH_M,"CHEGOU! Xiaomi Mi 10 Lite 5G, realmente INCRÍVEL? Unboxing e Impressões",2020-08-22T16:00:02Z,https://www.youtube.com/watch?v=AIPNojToH_M,15977,142515,Gesiel Taveira,971,1, ouv diz celul xiom nao baix netflix verdad 
25.Ugy7wI2qlZdNzEfz6gd4AaABAg,2021-01-08T21:02:52Z,Ana Miranda,"Gente comprei um mi 10 lite e tô amando ele. Mas só tem um probleminha que está me incomodando, quando eu vou ver stories e igtv no Instagram ele corta a imagem. Alguém sabe como me ajudar nesse problema?",0,cr3icyK3aWo,MELHOR XIAOMI do ANO - Xiaomi MI 10T PRO ANÁLISE [ Review ] COMPLETA !,2020-12-23T22:00:08Z,https://www.youtube.com/watch?v=cr3icyK3aWo,6081,83508,K Tech,531,0, gent compr mi 10 lit to amand probleminh incomod vou ver stori igtv instagr cort imag algu sab ajud ness problem 
28.UgwqQmkOICaXwgP2WtB4AaABAg,2020-12-17T12:42:51Z,Arthur,"Acabei de comprar um S20+. Excelente celular, tudo perfeito. Eu só to com raiva porque todos os reviews dizem que ele não tem tanta evolução em relação ao S10+ e o S10+ tava 1000 reais mais barato",0,AIK3P1jZ4T4,4 meses com o Galaxy S20: Sucesso ou decepção? (Review e opinião),2020-08-04T20:03:09Z,https://www.youtube.com/watch?v=AIK3P1jZ4T4,10723,180031,Rodrigo Vieira - RSSV,815,1, acab compr s20 excelent celul tud perfeit to raiv porqu tod reviews diz nao tant evoluca relaca s10 s10 tav 1000 rea barat
29.Ugx_ailu-lEochH255V4AaABAg,2021-02-20T15:11:36Z,Adriano Chelio,"Algo muito importante a maioria dos canais que analisam celulares não mostram: compatibilidade com Wi-Fi de 5Ghz, de alta velocidade. Não entendo porque não dão destaque a isso, tendo em vista que é imperdoável que um aparelho de mais de 1000 Reais não tenha compatibilidade com isso!! Esse Philco por exemplo não é!!",0,Q57RwtkGyYc,Philco HIT MAX - PCS02 | E não é que me SURPREENDEU? Unboxing e Impressões,2020-09-06T23:00:03Z,https://www.youtube.com/watch?v=Q57RwtkGyYc,3857,50476,brasiliGEEKS,459,1, algo import maior can analis celul nao mostr compatibil wi fi 5ghz alta veloc nao entend porqu nao dao destaqu tend vist imperdoavel aparelh 1000 rea nao compatibil philc exempl nao 
32.UgxUTNvPDwVx1bFR99Z4AaABAg,2019-02-11T14:59:04Z,TESLA,O preço e mais de 8 mil,0,AqpQjThAYtU,ROG Phone: o smartphone gamer da ASUS [Análise / Review],2019-02-06T17:26:00Z,https://www.youtube.com/watch?v=AqpQjThAYtU,7394,85574,Canaltech,245,1, prec 8 mil
33.UgyzOw7tyI0oFBJjs4p4AaABAg,2021-05-14T13:23:58Z,Paolla Oliveira,Nossa que fone podre um aparelho belíssimo e esse fone vagabundo aff,0,bt2Xrm4Grl4,"Galaxy M31, o MELHOR SAMSUNG ""barato"" de 2020? Esse VOCÊ vai GOSTAR! Unboxing e Impressões",2020-07-10T14:25:01Z,https://www.youtube.com/watch?v=bt2Xrm4Grl4,65560,934488,Gesiel Taveira,5132,1, fon podr aparelh belissim fon vagabund aff
34.UgzHBOF_Z0_PtIa1WUp4AaABAg,2019-08-08T15:35:30Z,Matheus Rogerio,"Onde vc comprou essa capinha, do seu s10 ???",0,flYuZ1KBaKM,É ASSIM O SAMSUNG GALAXY NOTE 10! SAMSUNG ERROU MESMO?,2019-08-06T22:02:24Z,https://www.youtube.com/watch?v=flYuZ1KBaKM,10581,128218,Dudu Rocha,714,0, onde vc compr capinh s10 
37.UgyA_0rLxrkq8NROadF4AaABAg,2020-09-01T23:49:57Z,Rayane Pinheiro,"Irei comprar meu primeiro xiaomi amanhã e será esse, espero não me decepcionar pq todo mundo fala super bem desse celular.",0,2p_i0hemb4E,REDMI NOTE 9S: MELHOR CUSTO-BENEFÍCIO da nova família da XIAOMI | Análise / Review,2020-06-29T23:32:20Z,https://www.youtube.com/watch?v=2p_i0hemb4E,5045,154051,TudoCelular,469,1, ire compr primeir xiaom amanh esper nao decepcion pq tod mund fal sup bem dess celul 
38.UgzYo-kJNjhcKkTCfSp4AaABAg,2021-05-28T22:51:54Z,DIOGO CRISTIAN DANELUZ,Ta 750 reais na minha cidade,0,0EUg5QZoonQ,"Com ele! O MAIS BARATO DA XIAOMI EM 2020! Redmi 9A, MELHOROU? ou PIOROU? 🥵",2020-08-19T15:15:08Z,https://www.youtube.com/watch?v=0EUg5QZoonQ,8523,141635,Jersu,818,0, ta 750 rea cidad
41.Ugyb6td_DzM6rx6hNlZ4AaABAg,2021-07-04T04:56:12Z,Henrique,"Boa noite meu querido... Eu tive a impressão q o fusion plus eh mais largo, estou certo ? Ou tô falando m*** msm? Rsssss",0,vkT1Rzy7TtE,Motorola One Fusion e Fusion+ [Unboxing],2020-07-30T16:00:33Z,https://www.youtube.com/watch?v=vkT1Rzy7TtE,20248,237605,Canaltech,632,1, boa noit quer impressa fusion plus eh larg cert to fal m msm rsssss
42.UgxPMEwFjIrjwWbry_94AaABAg,2020-12-09T20:11:22Z,Leandro Frossard,quando você vai fazer uma resenha sobre o s20 FE?,8,AIK3P1jZ4T4,4 meses com o Galaxy S20: Sucesso ou decepção? (Review e opinião),2020-08-04T20:03:09Z,https://www.youtube.com/watch?v=AIK3P1jZ4T4,10723,180031,Rodrigo Vieira - RSSV,815,0, vai faz resenh sobr s20 fe 
44.Ugz7P9e2r-9zMTujMnN4AaABAg,2021-03-01T23:40:15Z,Andre Venturini,Boa noite. Tenho um Xiaomi Mi 9 e gostaria de saber se vale a pena trocar por este? Não utilizo para jogos.,1,CKDLYTATKv8,"Xiaomi Mi 10T Lite, muito mais do que parece [Análise/Review]",2021-01-22T19:00:05Z,https://www.youtube.com/watch?v=CKDLYTATKv8,5668,103348,Canaltech,193,0, boa noit xiaom mi 9 gost sab val pen troc nao utiliz jog 
46.UgzM35Q_8mqR4JJUFWt4AaABAg,2021-01-26T12:26:39Z,Luiza Gelatti,"Em duvidas entre o  Mi10 T lite, o mi10 lite (o design dele é lindo) e poco x3",0,s1dvvUUQCGY,"CHEGOU! Xiaomi Mi 10T Lite, o INTERMEDIÁRIO PREMIUM com 5G! Unboxing e Impressões",2021-01-06T13:30:03Z,https://www.youtube.com/watch?v=s1dvvUUQCGY,9663,106639,Gesiel Taveira,750,0, duv mi10 t lit mi10 lit design lind poc x3
48.UgxaIug_pDc3CzHNFAl4AaABAg,2020-08-27T17:02:22Z,Niccolas Asloccj,Assistindo do meu 71 ❤,2,E8n6fAU4nI0,GALAXY A71: AVANÇOS DISCRETOS para se MANTER RELEVANTE | Análise / Review,2020-02-28T14:46:55Z,https://www.youtube.com/watch?v=E8n6fAU4nI0,6358,186926,TudoCelular,456,1, assist 71 
49.UgwH9FKFc8JGGFkqxhF4AaABAg,2020-08-22T04:50:49Z,Beatriz Albino,Qual seria o modelo de celular bom com a câmera melhor que a do note 10?,0,TEEMI3H8VBw,AGORA VAI?! XIAOMI MI NOTE 10 LITE // análise completa!,2020-06-07T15:54:05Z,https://www.youtube.com/watch?v=TEEMI3H8VBw,8962,155777,EscolhaSegura,425,0, model celul bom cam melhor not 10 
51.UgwOxqbwaSPZqesJhHd4AaABAg,2021-04-06T21:39:12Z,Douglas Augusto - Designer,Vo tentar comprar por milzinho já que LG morreu nos smartphones kkkkkkkkkkkkkkkkkkkk,0,z7rKZPLLUUQ,LG VELVET 5G tá na MÃO e QUE CÂMERA TOOOOP 📸,2020-08-10T22:00:21Z,https://www.youtube.com/watch?v=z7rKZPLLUUQ,14966,199797,K Tech,994,1, vo tent compr milzinh lg morr smartphon kkkkkkkkkkkkkkkkkkkk
55.UgwiLwrQuZ7_5-pMvtR4AaABAg,2021-01-20T02:32:44Z,Samara,galera? G9 Power ou G9 plus?,0,Kjsxyw-9txQ,🔋 6000 mAh e tela GIGANTE!! MOTO G9 POWER a pena? // Análise e Review Completo!,2020-12-10T20:55:55Z,https://www.youtube.com/watch?v=Kjsxyw-9txQ,3401,52271,EscolhaSegura,338,1, gal g9 pow g9 plus 
61.Ugy_uvh0CGLKzwn_Olh4AaABAg,2021-04-13T01:50:53Z,Natália Cerrito,depois de muito pensar acabei comprando meu moto e7 plus hoje 💗💗💗,7,Adj3fttlhNg,JÁ TÁ NA MÃO! MOTO E7 PLUS | Lançamento MOTOROLA | Unboxing e Impressões,2020-09-16T22:20:35Z,https://www.youtube.com/watch?v=Adj3fttlhNg,7098,112331,brasiliGEEKS,879,1, pens acab compr mot e7 plus hoj :coracao_crescendo: :coracao_crescendo: :coracao_crescendo: 
65.UgwCinuu1qxq_L1T_et4AaABAg,2021-05-14T01:57:23Z,Jeane Ern,Me ajudem!!! 9s ou esse qualquer um dos dois 128 GB...,0,YgyKgNC3aLA,"POCO X3 NFC : Sem dúvida, um dos MELHORES que a XIAOMI já LANÇOU!",2021-02-11T21:37:34Z,https://www.youtube.com/watch?v=YgyKgNC3aLA,5712,73610,Be!Tech,707,1, ajud 9s qualqu dois 128 gb 
67.UgyaAKF6QpfN_yqrQkF4AaABAg,2020-10-01T21:52:25Z,cleiverson pereira,Assistindo a treta no meu redmi k30 5g muito mais top e mais barato.. Só dá trabalho tirar o Android em chinês e passar o global da comunidade da xiaomi Eu.,0,lkqFKf5j_Fc,XIAOMI MI 10 LITE // esse é o PRIMEIRO XIAOMI que eu NÃO RECOMENDO!,2020-08-22T13:43:07Z,https://www.youtube.com/watch?v=lkqFKf5j_Fc,7538,234661,EscolhaSegura,652,1, assist tret redm k30 5g top barat trabalh tir android chin pass global comun xiaom 
68.Ugz-lDfrixY-LV2Ww454AaABAg,2020-12-02T19:23:13Z,Alex Silva,Esse tem 5G e qual é o processador?,0,lkqFKf5j_Fc,XIAOMI MI 10 LITE // esse é o PRIMEIRO XIAOMI que eu NÃO RECOMENDO!,2020-08-22T13:43:07Z,https://www.youtube.com/watch?v=lkqFKf5j_Fc,7538,234661,EscolhaSegura,652,0, 5g process 
69.UgykwaoyweMWHnJlVp14AaABAg,2021-05-23T03:55:54Z,Shiro Fubuki,"Eu prefiro o S20 fe snapdragon, a entrega é a mesma PARA MIM QUE NÃO TIRO MUITAS FOTOS E SOU UM USUÁRIO COMUM, MEU JOGO MAIS PESADO É ASPHALT 9 E QUERO O DEX SEM FIO.",0,HmE-RlaaIl8,"Na boa, o GALAXY S21 ULTRA faz sentido? minha OPINIÃO SINCERA! 😱 // Análise",2021-02-27T13:30:05Z,https://www.youtube.com/watch?v=HmE-RlaaIl8,6779,82371,EscolhaSegura,657,0, prefir s20 fe snapdragon entreg mesm mim nao tir muit fot usuari comum jog pes asphalt 9 quer dex fio 
73.Ugw9OOG2E8PJ-ryr4q94AaABAg,2020-09-26T18:25:27Z,Daniel Carlos,26/09/20 ele tá custando 2750.00 no Ponto frio!,3,jc1xyd19kCA,NOVO iPhone SE 2020: impressionado ou decepcionado? | Análise / Review Completo!,2020-06-02T21:50:19Z,https://www.youtube.com/watch?v=jc1xyd19kCA,7964,107158,EscolhaSegura,694,1, 26 09 20 ta cust 2750 00 pont fri 
74.UgwxJMuLs6cxq6ftOct4AaABAg,2021-06-08T01:17:31Z,Daniel Ranquini,Ele vem com a película de fábrica?,0,tbf7M86iZd4,XIAOMI Mi 10T Lite 5G - ME APAIXONEI ❤️,2020-10-28T22:00:07Z,https://www.youtube.com/watch?v=tbf7M86iZd4,12254,177329,K Tech,844,1, vem pelicul fabric 
75.UgzmnvC5fmGMam22Jsl4AaABAg,2020-10-30T00:31:58Z,Eduardo Santos,Meu sonho ter um celular desses,0,5OPMnkJAytw,ROG PHONE 3! O novo MONSTRO da ASUS tá na MÃO! 16GB de RAM e SNAPDRAGON 865 PLUS!,2020-07-22T15:30:11Z,https://www.youtube.com/watch?v=5OPMnkJAytw,7400,87156,Be!Tech,578,1, sonh ter celul dess
77.Ugx_IwZtp5dgZjx1SNN4AaABAg,2021-06-13T22:33:16Z,Gleice Rosemani,"Estou amando ,só tenho q me acostumar com o peso..",0,L0BEtx34X30,"CHEGOU! Galaxy M51, um SAMSUNG com BATERIA pra ninguém botar DEFEITO! Unboxing e Impressões",2020-12-15T12:00:05Z,https://www.youtube.com/watch?v=L0BEtx34X30,41688,455088,Gesiel Taveira,2838,0, amand acostum pes 
78.UgxTrdOvK6FYEQ4yLvp4AaABAg,2021-05-29T15:16:55Z,Nilson Da Silva,Na magazine luiza(loja fisica) esta saindo por 1499,0,vXu89gqgEGg,"CHEGOU! Motorola ONE FUSION tá aqui, mas será um bom SMARTPHONE? Unboxing e Impressões",2020-11-09T14:10:00Z,https://www.youtube.com/watch?v=vXu89gqgEGg,32642,471885,Gesiel Taveira,2745,0, magazin luiz loj fisic saind 1499
80.UgygVHpLIYngLd5FiYF4AaABAg,2021-06-18T18:30:20Z,Daniel Vinícius,Eu tô achando que o S20 FE vai sair de linha pra abrir espaço pro novos S22.,2,KOitq-ctZCk,O MISTÉRIO do GALAXY S20 FE com SNAPDRAGON 865! Me AJUDE a RESOLVER! Como PODE algo ASSIM?,2021-05-26T13:30:03Z,https://www.youtube.com/watch?v=KOitq-ctZCk,4058,50270,Be!Tech,555,1, to achand s20 fe vai sair linh abrir espac pro nov s22 
81.UgzNVWxT-c4LFVF8McB4AaABAg,2021-06-25T00:27:32Z,carlos henrique,Ligeiro igual coceira de macaco kkkkk essa é  boa,0,L0BEtx34X30,"CHEGOU! Galaxy M51, um SAMSUNG com BATERIA pra ninguém botar DEFEITO! Unboxing e Impressões",2020-12-15T12:00:05Z,https://www.youtube.com/watch?v=L0BEtx34X30,41688,455088,Gesiel Taveira,2838,0, ligeir igual coceir macac kkkkk boa
83.UgwElArvS_8SPaDBTS14AaABAg,2021-01-06T17:00:12Z,Rafael Leivas Nunes,"Fala Dudu, me salva aí! Curto muito teus vídeos! ;Uso o Note 10 Plus há cerca de 1 ano e adoro. Mas estou tentando resolver algo que acho que editei e não sei como reverter. Sempre que estou usando meu telefone e recebo uma notificação (de qualquer aplicativo), meu telefone sai da tela em que estou e vai direto para a notificação que recebi. Muito chato isso! Você tem uma ideia de como isso pode ser consertado? Aliás, estou usando o One UI 2.5. Acho que apenas um especialista, como você, poderia saber esse tipo de coisa. Se souber me da uma ajuda por favor. Abraço e muito obrigado!",0,Jl5x6H15zAg,SAMSUNG GALAXY NOTE 10 PLUS (review) A REAL!!,2019-10-06T14:51:30Z,https://www.youtube.com/watch?v=Jl5x6H15zAg,17809,343513,Dudu Rocha,908,1, fal dudu salv ai curt vid uso not 10 plus cerc 1 ano ador tent resolv algo acho edit nao sei revert sempr usand telefon receb notificaca qualqu aplic telefon sai tel vai diret notificaca receb chat ide pod ser consert ali usand one ui 2 5 acho apen especial pod sab tip cois soub ajud favor abrac obrig 
84.UgwcwCYfGT0j0GOGdbF4AaABAg,2020-10-29T10:41:12Z,Guilherme Gomes,Ótimo aparelho porém o carregador é muito fraco pra uma bateria tão grande,0,uhZwOBzOSMI,SAMSUNG GALAXY M31 é a OPÇÃO do MOMENTO? Vale MESMO a pena? // Análise & Review Completo!,2020-07-30T23:34:39Z,https://www.youtube.com/watch?v=uhZwOBzOSMI,7637,85525,EscolhaSegura,688,1, otim aparelh por carreg frac bat tao grand
88.UgyDFRpmX4aeIP9M1ct4AaABAg,2020-11-22T23:11:12Z,Adriana Silva,Estou querendo compra só q estou em dúvida se a camera frontal dele é boa ou se é melhor q a do j7???Eu comprei um a11 e odiei a câmera frontal!,0,v5TrkKvVDfs,GALAXY A71! Um dos MAIS COMPLETOS e DESEJADOS da SAMSUNG! É BOM MESMO!? UNBOXING!,2020-06-20T14:56:52Z,https://www.youtube.com/watch?v=v5TrkKvVDfs,15689,326460,Be!Tech,1381,1, quer compr duv cam frontal boa melhor j7 compr a11 odi cam frontal 
92.UgzAVCLaivczH8-M62B4AaABAg,2021-05-04T20:24:27Z,mud,"Mano pelo que eu vi no vídeo, esse cara simplesmente apenas falou BOSTA ;do celular,e eu vi o vídeo INTEIRO e não vi nada de ruim,câmera ;boa,rodou o Cod Mobile no máximo tranquilo,não trava,interface ;bonita,tudo de bom. Eu tenho um Iphone SE 32gb e hoje em dia NÃO tem ;NENHUMA capinha ou película pra vender, cheguei a uma conclusão: Irei ;comprar este celular (Na verdade estou em dúvida ;-; A10 ou A01?), se ;puderem deixar suas SINCERAS opiniões sobre o A10 ou o A01 agradeço! :)",0,Y2AKP4nFviA,GALAXY A10s O BARATINHO DA SAMSUNG VALE A PENA o PREÇO? #UNBOXING,2020-03-10T21:30:00Z,https://www.youtube.com/watch?v=Y2AKP4nFviA,13243,271419,TukEmperial,1569,-1, man vi vid car simples apen fal bost celul vi vid inteir nao vi nad ruim cam boa rod cod mobil maxim tranquil nao trav interfac bonit tud bom iphon 32gb hoj dia nao nenhum capinh pelicul vend chegu conclusa ire compr celul verdad duv a10 a01 pud deix sinc opinio sobr a10 a01 agradec 
95.UgxXxPjKVtR9deQ1iaF4AaABAg,2020-10-13T21:27:43Z,SniperPirata,"Galaxy note 10 plus ou Xioami Mi9t pro? Considerando que a diferença de preço de um para o outro seja de apenas 600,00 para o Galaxy note 10 plus.",0,npCMuKdtDKI,GALAXY NOTE 10+ vale a pena? | Análise / Review,2019-09-07T13:30:04Z,https://www.youtube.com/watch?v=npCMuKdtDKI,19166,273305,EscolhaSegura,832,1, galaxy not 10 plus xioam mi9t pro consider diferenc prec outr apen 600 00 galaxy not 10 plus 
96.Ugz4ZpP2Yqo_6inaRYN4AaABAg,2021-02-07T12:34:00Z,Carla Andreia,Comprei o meu  não  tem bem 1 mês.  Sinto a bateria  descarregar muito rápido.,0,9T0kwmn_hVU,REDMI NOTE 9S TÁ NA MÃO ! O Maior SUCESSO da XIAOMI !,2020-04-01T21:00:05Z,https://www.youtube.com/watch?v=9T0kwmn_hVU,51734,840887,K Tech,2601,1, compr nao bem 1 mes sint bat descarreg rap 
97.UgwkL1753q1YBmxm2KR4AaABAg,2021-02-28T20:47:01Z,John Da Silva,"Muito caro, com caixa vazia......e com processador de segunda linha..... nao vale a pena não!!!",1,TLZBUC-qieY,Samsung Galaxy S21 Ultra REVIEW: o celular Android MAIS COMPLETO do mercado – TecMundo,2021-02-09T14:05:01Z,https://www.youtube.com/watch?v=TLZBUC-qieY,4632,63509,TecMundo,438,-1, car caix vaz process segund linh nao val pen nao 
98.UgyZ_rHES4buu2gEey14AaABAg,2021-06-26T01:09:27Z,Leonardo Lima,Vale a pena trocar um Mi9T pro por um desses?,0,mp_aDo-uH6I,"Xiaomi Mi 10T e 10T Pro, valem a pena ou não? [Análise/Review]",2021-01-27T14:00:53Z,https://www.youtube.com/watch?v=mp_aDo-uH6I,7419,128625,Canaltech,495,0, val pen troc mi9t pro dess 
101.UgyU7aFiNoE1qlhJ20B4AaABAg,2021-05-07T01:57:34Z,Rafa Correia,o que foi esse video man kkkkkkkkkkkkkkk top,0,4AXbgJWOBVc,"Samsung Galaxy A10s: um pouco diferente, mas nada melhor [Unboxing/Hands-on]",2020-01-20T16:00:01Z,https://www.youtube.com/watch?v=4AXbgJWOBVc,11982,231758,Canaltech,837,1, vid man kkkkkkkkkkkkkkk top
106.UgzudytIMnWGXIrtQZJ4AaABAg,2021-04-20T22:27:40Z,Lucas Oliveira,Ele roda Roblox? Quero comprar pra minha filha.,0,-gANghKyLiY,"MOTO E7 POWER (Sim, MAIS UM)! BATERIA ENORME e Preço ABAIXO dos MIL REAIS | Unboxing e Impressões",2021-02-23T22:27:27Z,https://www.youtube.com/watch?v=-gANghKyLiY,3034,53330,brasiliGEEKS,348,1, rod roblox quer compr filh 
107.Ugy4N7OM3-EGdRDBHzB4AaABAg,2020-10-21T12:37:41Z,Ana Paula,"Olá, não consigo configurar as notificações na tela bloqueada do Xiaomi mi 10 lite, existe uma configuração para isto?",0,6IcND0WJFEg,Finalmente! XIAOMI MI 10 LITE 5G a EVOLUÇÃO PERFEITA 😍,2020-06-15T22:00:01Z,https://www.youtube.com/watch?v=6IcND0WJFEg,13617,236138,K Tech,778,0, ola nao consig configur notificaco tel bloqu xiaom mi 10 lit exist configuraca 
