comment-id,comment-date,comment-author,comment,comment-likes,video-id,video-title,video-date,video-link,video-likes,video-views,video-channel,video-comment-count
10.UgyfC08zO3XB_3BBc_l4AaABAg,2021-05-08T23:08:16Z,Kauan David,Ele reproduz em full hd ? Em 18000 bateria dura 3 dias???,1,6LwYbm71AJM,Review GALAXY S21 ULTRA! Agora sim a SAMSUNG fez o que DEVERIA ter FEITO! Análise completa!,2021-04-07T22:00:01Z,https://www.youtube.com/watch?v=6LwYbm71AJM,5287,91701,Be!Tech,430
11.UgwX_5wREWe-c0BZV9R4AaABAg,2020-10-23T02:44:53Z,Raphael Sales,Comprem garantia estendidas compensa de mais,0,nfqOY-5_2Go,Motorola One Macro vs Hyper vs Fusion e Fusion+ [Comparativo],2020-10-15T00:00:10Z,https://www.youtube.com/watch?v=nfqOY-5_2Go,9632,135126,Canaltech,552
12.Ugylumylha-vTzvUGbh4AaABAg,2020-11-20T20:34:23Z,leticiapqp,"Finalmente posso dizer: VENDO ESSE VIDEO DO MEU A71!;Celular extremamente competente em todas as áreas, espero que seja o primeiro Samsung de muitos",0,OM3y5Aj87FU,"Samsung Galaxy A71: um intermediário completo, interessante e caro [Análise/Review]",2020-03-13T00:00:06Z,https://www.youtube.com/watch?v=OM3y5Aj87FU,31874,511193,Canaltech,1064
13.UgwQdB95baxhl-3TYiJ4AaABAg,2021-05-02T16:03:57Z,Maria Alice,O meu NN faz chamada de video no whatsapp,0,6NgZeAQLdqA,LG K22 é bom? Vale a Pena? Análise Completa,2020-09-30T21:00:00Z,https://www.youtube.com/watch?v=6NgZeAQLdqA,3507,132714,Canal É Bom?,817
14.UgwBT7M7Ca-1OeQ99vN4AaABAg,2021-04-11T00:43:24Z,Felipe Sabra,"Só a tela que não é amoled que é broxante.;Por mim, tira metade da qualidade da câmera. Mas coloca uma tela amoled. ;Esse é o UNICO motivo que não vou comprar esse aparelho",0,7P5zO5s3Mhw,XIAOMI MI 10T PRO 5G a Xiaomi criou um MONSTRO !!!,2020-10-05T22:00:02Z,https://www.youtube.com/watch?v=7P5zO5s3Mhw,24433,471425,K Tech,1214
15.UgyrkNA-4w2NCyDJ7_14AaABAg,2020-01-23T10:10:13Z,Naty F,Tô na dúvida se troco meu s8 por um note 10 ou iphone 11,0,ZRx4mTDMmzA,Samsung Galaxy Note 10+ | Review Tecnoblog,2019-09-06T20:00:02Z,https://www.youtube.com/watch?v=ZRx4mTDMmzA,6774,158046,Tecnoblog,343
16.UgwlytdXROEYzsU2I3V4AaABAg,2021-02-08T01:26:25Z,SMURF,O meu ñ ta trocando para a câmera frontal!! Sabe oque eu posso fazer?,2,BfgqI5xndTU,NOVO GALAXY A10S |BATERIA MAIOR E SENSOR DE DIGITAIS | ANÁLISE / REVIEW,2019-12-07T21:00:00Z,https://www.youtube.com/watch?v=BfgqI5xndTU,6457,128228,brasiliGEEKS,707
17.UgxSKxMa6H6iq_DyTRh4AaABAg,2020-03-04T20:09:33Z,Toni Ferreira,Com o lançamentos do S20 o único ponto positivo pra nós brasileiros de baixa renda é que os modelos anteriores vão cair o preço.,0,Dcc8-L5XGQ4,INCRÍVEL!! GALAXY S20 e S20 ULTRA! | o que a SAMSUNG não te CONTOU!,2020-02-12T00:28:45Z,https://www.youtube.com/watch?v=Dcc8-L5XGQ4,18013,243516,EscolhaSegura,1252
18.Ugx0GfSpkZswdfxJPwN4AaABAg,2021-06-27T21:18:39Z,Alexandre,Comprei um Pro e estou no aguardo. Já está no Brasil. Aguardo para saber se vou ser taxado,1,V2Ok_WldtBY,"Poco X3 PRO, um Xiaomi com Snapdragon 860 | Pocophone Gamer? [Análise/Review] e [Comparativo]",2021-05-08T14:00:07Z,https://www.youtube.com/watch?v=V2Ok_WldtBY,10180,117625,Canaltech,703
19.Ugw_ZUY787H2vKL5eD14AaABAg,2021-05-24T12:58:56Z,luciano zulu,"Depois que atualizou pro Android 11, meu A71 passou a travar em jogos que rodavam liso, além de alguns aplicativos estarem fechando sozinhos. Já dei hard reset e não adiantou nada. Alguém com o mesmo problema?",0,xra9DQ1kERA,A REAL sobre o GALAXY A71. O QUASE TOP da Samsung vale a pena?,2020-07-18T16:25:15Z,https://www.youtube.com/watch?v=xra9DQ1kERA,11589,132308,Dudu Rocha,1031
20.UgzXStWK0VYFdlxZf0d4AaABAg,2021-06-27T04:58:57Z,kact -rt,Esse celular é top,1,MR7kfsi2qkM,"Motorola One Fusion+, o BRANQUINHO MAIS LINDO de 2020? Unboxing e Impressões",2020-08-06T16:35:01Z,https://www.youtube.com/watch?v=MR7kfsi2qkM,34564,474458,Gesiel Taveira,1748
21.Ugx0qdgg1D157b-IV2x4AaABAg,2021-05-23T15:27:51Z,Thaynara Alves,Eu ainda tô usando o j7 prime..esse A10s será q é melhor? To  com medo de trocar,0,8S7KLrWQ_HA,"NOVO GALAXY A10S (SIM, MAIS UM!!!) UNBOXING E IMPRESSÕES",2019-11-20T21:00:02Z,https://www.youtube.com/watch?v=8S7KLrWQ_HA,23175,533701,brasiliGEEKS,2007
22.Ugw4l7xv_FJ0x5Bqqap4AaABAg,2020-12-18T12:23:22Z,Edivaldo Santos,A01,0,NQoe8evYJ78,LG K22 vs A01 (Comparativo),2020-10-04T15:00:10Z,https://www.youtube.com/watch?v=NQoe8evYJ78,2234,68410,fone-se,532
23.UgwJQyEtItoF1gY3N_t4AaABAg,2021-04-08T17:28:01Z,Andressa Ribeiro,"Não gosto de aparelhos dobráveis, eu não compraria. Troquei iPhone 12 Pro Max pelo Galaxy s21 ultra, aparelho pra tudo, bate na cara de todas as marcas rivais. Posso falar isso porque já usei o mais recente modelo da Apple, que inclusive troquei pelo s21 ultra. Se é pra trabalho ou pra uso pessoal o aparelho é excelente, sem discussões.",2,_txy5ouAG6s,Galaxy S21 Ultra: a Samsung ACERTOU no ZOOM dessa vez [Análise/Review],2021-02-09T14:00:31Z,https://www.youtube.com/watch?v=_txy5ouAG6s,18174,441207,Canaltech,976
24.UgzxaMKX_KVtuHpyQtV4AaABAg,2020-11-22T00:05:58Z,Paulo Conhasca Bittencourt,"Sumiu aquela tela Edge, habinha (risos) que fica a direita da tela, como faço para ela aparecer, pois ela sumiu?",1,v5TrkKvVDfs,GALAXY A71! Um dos MAIS COMPLETOS e DESEJADOS da SAMSUNG! É BOM MESMO!? UNBOXING!,2020-06-20T14:56:52Z,https://www.youtube.com/watch?v=v5TrkKvVDfs,15689,326460,Be!Tech,1381
25.UgyaiSmjU9TdO5HZDT94AaABAg,2021-05-11T20:57:10Z,J.V,Alguém pode me dizer até quantos megas a placa de rede do Redmi 9 aguenta?,0,85eTN4iyoxY,"REDMI 9, o verdadeiro XIAOMI bom e barato? Vale a pena COMPRAR esse SMARTPHONE pra VOCÊ? Olha isso!",2020-08-30T16:30:00Z,https://www.youtube.com/watch?v=85eTN4iyoxY,25810,365530,Gesiel Taveira,2416
26.UgxEY85sV7vU5l4bl9F4AaABAg,2021-03-08T16:30:22Z,Marcio P,"Boa tarde Matheus , na Americanas esse aparelho está por 2600 , vale apena por esse preço",0,1n4NgeFHDWA,GALAXY S20 FE é o MELHOR de toda a linha S20! ANÁLISE FINAL!,2021-01-15T21:09:08Z,https://www.youtube.com/watch?v=1n4NgeFHDWA,4418,75611,Matheus Kise,536
27.UgxZhEQMPXkCVIxcONB4AaABAg,2020-12-31T22:46:27Z,Marlette Rodrigues,Conprei o meu hj,0,npCMuKdtDKI,GALAXY NOTE 10+ vale a pena? | Análise / Review,2019-09-07T13:30:04Z,https://www.youtube.com/watch?v=npCMuKdtDKI,19166,273305,EscolhaSegura,832
28.UgyYLIsOUd31_MgWc6h4AaABAg,2021-04-22T03:21:03Z,Mikeias Junior,Pode me ajuda to em duvida iPhone 7 64mb;;Ou este modelo video redmi 10,0,mp_aDo-uH6I,"Xiaomi Mi 10T e 10T Pro, valem a pena ou não? [Análise/Review]",2021-01-27T14:00:53Z,https://www.youtube.com/watch?v=mp_aDo-uH6I,7419,128625,Canaltech,495
29.Ugz5h3CInGXH5eXKHFt4AaABAg,2020-07-16T23:35:03Z,Tiago Pereira,"Quando é que vão deixar de dizer ""laite"" quando se diz ""lite"" exatamente como se escreve?",0,8Dp-oE8NPbA,Qual o MELHOR ?? Xiaomi Mi 10 Lite 5G vs Mi Note 10 Lite,2020-07-14T13:44:20Z,https://www.youtube.com/watch?v=8Dp-oE8NPbA,2744,66884,Tiago Ramos,318
30.UgwlI8HIUclbJ7QFFaV4AaABAg,2021-06-18T12:00:12Z,LAURA FF,O meu veio com nfc,0,L0dWus1ex30,Redmi 9: o baratinho da Xiaomi vale a pena em 2021? - review/análise,2021-02-12T22:15:00Z,https://www.youtube.com/watch?v=L0dWus1ex30,3960,81640,Oficina da Net,731
31.UgwVW03nfp2jD8bCO-14AaABAg,2021-02-18T12:22:59Z,Ana Vitória,Quero esse celular dms mais o preço na abaixa nunca,1,bTwsyaDgD6g,GALAXY A71! SERÁ ELE o REI da SAMSUNG!? COMPLETO e com ÓTIMAS CÂMERAS! REVIEW!,2020-07-10T21:15:59Z,https://www.youtube.com/watch?v=bTwsyaDgD6g,17588,321012,Be!Tech,1747
32.UgzizDu_DKeYjBY8Il14AaABAg,2021-05-27T22:45:08Z,Deiserosa.ds.gmail.com Rosa,5:19 oi vou comprar esse valor mas vale a pena com 64gb?,1,L0dWus1ex30,Redmi 9: o baratinho da Xiaomi vale a pena em 2021? - review/análise,2021-02-12T22:15:00Z,https://www.youtube.com/watch?v=L0dWus1ex30,3960,81640,Oficina da Net,731
33.UgxEsfgEc02z6Lq2GgF4AaABAg,2020-12-03T17:49:59Z,⚖𝑆𝐴𝑅𝑈⃢⚡,"Eu já joguei Subway Surfers até numa mandioca, aí não dá meu parceiro,testar num celular desse",1,T_HXPm8RwwI,ROG PHONE 3! JOGANDO com o SMARTPHONE MAIS POTENTE do MUNDO! É de CAIR o QUEIXO! TELA de 144hz!,2020-07-22T15:31:44Z,https://www.youtube.com/watch?v=T_HXPm8RwwI,13997,173883,Be!Tech,1185
34.Ugzy4lI2P64UStQJC454AaABAg,2021-05-26T10:39:32Z,edumeireles,ENCONTREI O SMARTPHONE CERTO PARA EU!!! MUITO BADASS 🔥🔥🔥🔥,0,j2ZP5kY63Zc,O Melhor do melhor? - Galaxy S21 Ultra,2021-03-06T22:24:51Z,https://www.youtube.com/watch?v=j2ZP5kY63Zc,112433,1062454,Coisa de Nerd,3713
35.UgxvLrsioUCdAl_YD-V4AaABAg,2020-12-25T00:33:49Z,Marcílio Pimentel,Lixo esse celular é um lixo eu quero o meu dinheiro de volta Samsung de merda...,0,ONwhl3vIsxg,BOA!! GALAXY NOTE 10 LITE é melhor DO QUE EU ESPERAVA!! Mas tem um problema...,2020-03-09T22:14:36Z,https://www.youtube.com/watch?v=ONwhl3vIsxg,19708,447661,EscolhaSegura,1552
36.UgxJbrhcDNtMI2gcPU94AaABAg,2020-12-05T20:26:05Z,Fernando Fernandes,"O Loko, no Paraguai esta 1800, vou lá comprar",1,jpWsHf_buf4,"O Mais caro da XIAOMI NO BRASIL, Xiaomi Mi 10T! O que ele tem de especial? É UMA SUPER MÁQUINA!",2020-11-20T15:21:34Z,https://www.youtube.com/watch?v=jpWsHf_buf4,6905,113195,Jersu,534
37.UgxWay7kqoRTFvLyJJd4AaABAg,2020-04-19T15:22:04Z,Mandarim transforma,Comprei meu A71 aqui em Taiwan. Muito mais barato que no Brasil. Faço meus vídeos aqui no canal com o celular.. ele é maravilhoso. Nada a reclamar !,2,E8n6fAU4nI0,GALAXY A71: AVANÇOS DISCRETOS para se MANTER RELEVANTE | Análise / Review,2020-02-28T14:46:55Z,https://www.youtube.com/watch?v=E8n6fAU4nI0,6358,186926,TudoCelular,456
38.UgyfSzbU817xilNKu3R4AaABAg,2021-02-12T16:17:09Z,Ricardo Dantas,O som dele é Mono?,0,4V8j2HU-Ljk,XIAOMI MI 9 vale a pena? | Análise / Review Completo,2019-06-16T17:30:00Z,https://www.youtube.com/watch?v=4V8j2HU-Ljk,22834,563628,EscolhaSegura,1078
39.UgxDqskft4H9VPqi3fh4AaABAg,2019-11-09T18:29:25Z,Fabrízia Oliveira,"Amei a demonstração, me ajudou muito em minha decisão. Continue, com esse ótimo trabalho. Apresentador talentoso tbm, vai longe!!!",2,N9rnjyonpng,Review Galaxy Note 10+: o melhor smartphone da Samsung vale o preço? – TecMundo,2019-09-25T14:00:02Z,https://www.youtube.com/watch?v=N9rnjyonpng,9386,185270,TecMundo,430
40.UgwFhkTtNPFSGliWX7V4AaABAg,2021-04-02T21:21:41Z,Raphael Duarte,"A melhor análise que vi até agora. Vou aposentar o meu J7 prime depois de quatro anos de uso, e espero não me decepcionar com esse smartphone. Acho que hoje ele é o melhor custo benefício que tem no mercado.",1,C2W1JgR50XA,Galaxy M31: o modelo mais competitivo da Samsung em 2020 [Análise/Review],2020-09-04T16:00:06Z,https://www.youtube.com/watch?v=C2W1JgR50XA,15077,183921,Canaltech,677
41.UgyvNi0Hjhw1LE9xzSt4AaABAg,2021-02-12T21:39:36Z,Matheus,"Comprei ele essa semana, queria um celular que durasse uns bons anos. Agora só esperando chegar.",1,n7baDhFb18g,Esse APPLE não É PARA TODOS ! iPhone SE 2020 ANÁLISE [ Review ] COMPLETA !,2020-06-17T22:00:18Z,https://www.youtube.com/watch?v=n7baDhFb18g,9944,132408,K Tech,1490
42.UgxZkPqc3M29TcQW_mJ4AaABAg,2020-11-11T14:20:05Z,JordanZinBr ツ,Vim do futuro 11.11.20 e esse celular está por 1.773R$ antes da Black friday,2,ONwhl3vIsxg,BOA!! GALAXY NOTE 10 LITE é melhor DO QUE EU ESPERAVA!! Mas tem um problema...,2020-03-09T22:14:36Z,https://www.youtube.com/watch?v=ONwhl3vIsxg,19708,447661,EscolhaSegura,1552
43.UgypyKyhXtD99HKWnMp4AaABAg,2021-04-12T04:53:12Z,Mauricio Freixinho,"Irmão,eu tenho um desse é igualzinho a esse que você mostrou no vídeo,mas não são 6 gigas de memória raw não, são 4 de raw, abraço!",2,qwn3cekn7yQ,Chegou! MOTOROLA ONE FUSION PLUS - QUE COR LINDA e CÂMERA POP UP! #UNBOXING,2020-07-27T23:08:46Z,https://www.youtube.com/watch?v=qwn3cekn7yQ,14512,215033,TukEmperial,996
44.UgzwNzSxynqHvZbXjjd4AaABAg,2021-03-26T08:04:48Z,Ezequiel Da rosa almeida,"Uma pergunta, se alguém comprar pra mim, la no estados unidos com o chipset da Qualcomm, tem alguma taxa? E ele vai funcionar no Brasil normalmente?",0,1n4NgeFHDWA,GALAXY S20 FE é o MELHOR de toda a linha S20! ANÁLISE FINAL!,2021-01-15T21:09:08Z,https://www.youtube.com/watch?v=1n4NgeFHDWA,4418,75611,Matheus Kise,536
45.Ugxq3gRYbwhkYdL3ELx4AaABAg,2021-06-27T19:26:16Z,Geisilaine Oliveira,Faz um comparativo dele pra nos,0,vXu89gqgEGg,"CHEGOU! Motorola ONE FUSION tá aqui, mas será um bom SMARTPHONE? Unboxing e Impressões",2020-11-09T14:10:00Z,https://www.youtube.com/watch?v=vXu89gqgEGg,32642,471885,Gesiel Taveira,2745
46.UgwUG1neAGcxJAQpq8F4AaABAg,2019-09-11T15:10:23Z,Marcelo dos Santos,tenho um iphone 7 e estou pensando em pegar um samsung viu...;Que jogo é este da Nave?,0,ZRx4mTDMmzA,Samsung Galaxy Note 10+ | Review Tecnoblog,2019-09-06T20:00:02Z,https://www.youtube.com/watch?v=ZRx4mTDMmzA,6774,158046,Tecnoblog,343
47.UgzN62hznqG20N7w3QJ4AaABAg,2020-09-19T17:19:29Z,Robert Mello,Qual nome do app para controlar tudo?,0,Jl5x6H15zAg,SAMSUNG GALAXY NOTE 10 PLUS (review) A REAL!!,2019-10-06T14:51:30Z,https://www.youtube.com/watch?v=Jl5x6H15zAg,17809,343513,Dudu Rocha,908
48.UgznJ03sePVM8jeSJKF4AaABAg,2021-03-23T03:46:27Z,Edson Alencar,"23/03/2021 Preço R$ 4.499,00",0,RtUdGZlZeVA,"Motorola Edge+, o MELHOR SMARTPHONE de 2020 até agora [Análise/Review]",2020-08-03T17:00:07Z,https://www.youtube.com/watch?v=RtUdGZlZeVA,23350,263371,Canaltech,732
49.Ugylj4xQ5_4aYsWqvBB4AaABAg,2020-11-21T00:44:36Z,Eddynho Silva,"Desisto desse Black friday. Eles já subiram o preço para poder dar desconto no dia da ""Black Friday""...;; Grandes empresários merecem é porrada. Pqp",1,i4IceenolYE,"GALAXY A71 | Agora, VALE A PENA! Análise/ Review ATUALIZADO",2020-07-06T23:00:15Z,https://www.youtube.com/watch?v=i4IceenolYE,5388,83751,brasiliGEEKS,631
50.UgwPjOlupiH7XyHMn7x4AaABAg,2021-03-13T05:31:30Z,nego ffx1_,Ele é versos global mesmo nesse link?,0,9T0kwmn_hVU,REDMI NOTE 9S TÁ NA MÃO ! O Maior SUCESSO da XIAOMI !,2020-04-01T21:00:05Z,https://www.youtube.com/watch?v=9T0kwmn_hVU,51734,840887,K Tech,2601
51.UgyQGBrm4IT4ydajcW94AaABAg,2021-02-12T17:22:05Z,Kasluim D'anno,Porrah tu é chato pá. caraio !!!!,0,khyeh8MwMNo,"iPhone 12 Pro Max, o MELHOR de 2020? [Análise/Review]",2020-11-15T01:30:01Z,https://www.youtube.com/watch?v=khyeh8MwMNo,15026,257755,Canaltech,592
52.UgySx_c7AohrPBg-R7l4AaABAg,2021-04-14T19:17:19Z,Orlando Neto,O meu celular uni fusion faz 2 meses ele fica congelado a tela pq e quem saber dizer 984798275,0,jzZLMpG59xs,MOTOROLA ONE FUSION PLUS! Sem DÚVIDA o REI do CUSTO BENEFÍCIO da MOTOROLA! REVIEW!,2020-09-21T21:15:04Z,https://www.youtube.com/watch?v=jzZLMpG59xs,7573,117468,Be!Tech,746
53.Ugz5B1grd0-FSB-HvTp4AaABAg,2021-03-11T03:24:37Z,Eren Yeager,"eu uso o a10s, jogo free fire, mobile legends. tudo nos gráficos reduzidos. vocês acham q pra jogar precisa ser em gráficos absurdos. ele não trava comigo, basta você saber usar. optimizar sempre o celular antes de jogar.",0,Y2AKP4nFviA,GALAXY A10s O BARATINHO DA SAMSUNG VALE A PENA o PREÇO? #UNBOXING,2020-03-10T21:30:00Z,https://www.youtube.com/watch?v=Y2AKP4nFviA,13243,271419,TukEmperial,1569
54.UgyPQ7nHAybSFykyYXt4AaABAg,2021-06-11T10:42:38Z,tomas nobrega,"A snapdragon so faz chip, devem fazer de forma bem eficiente (barata). As vezes o preco do snapdragon com o lucro da qualcom ainda compensa mais do que uma producao ineficiente (cara) feita in house pela samsung",0,KOitq-ctZCk,O MISTÉRIO do GALAXY S20 FE com SNAPDRAGON 865! Me AJUDE a RESOLVER! Como PODE algo ASSIM?,2021-05-26T13:30:03Z,https://www.youtube.com/watch?v=KOitq-ctZCk,4058,50270,Be!Tech,555
55.UgzH1vhs2Stsz4hIAd54AaABAg,2020-04-27T13:21:32Z,Alessandra,"Eu sempre avisei que era só questão de tempo para a Xiaomi começar a cobrar o preço igual dos outros fabricantes, eles só queriam ficar famosos no início. Com esse valor compro um Huawei P30 Pro",0,jzvQnnB2reE,"REDMI NOTE 9S no Brasil! O novo smartphone grandão e ""baratinho"" da Xiaomi – TecMundo",2020-04-21T00:30:12Z,https://www.youtube.com/watch?v=jzvQnnB2reE,5377,83490,TecMundo,342
56.UgyWoPhyHM24W0_3xz14AaABAg,2021-02-01T16:35:56Z,Taira Rodrigues,"Pessoal me ajuda aqui, tenho um redmi not 9 e tô trocar por esse, vale a pena será?",0,yjVrU4tenzE,"MOTOROLA ONE FUSION PLUS em 2021! Agora MAIS BARATO, vale a pena comprar? REVIEW/ANÁLISE",2021-01-06T21:00:31Z,https://www.youtube.com/watch?v=yjVrU4tenzE,2029,57672,Oficina da Net,321
57.UgyMzM7V_sguhpovGlJ4AaABAg,2020-07-11T12:03:50Z,Vinícius Ribeiro,Estou assistindo do meu A71 e estou amando ele 😍,1,CKRlXjrPVPk,Samsung Galaxy A71 - Review Tecnoblog,2020-07-03T21:00:05Z,https://www.youtube.com/watch?v=CKRlXjrPVPk,3666,59322,Tecnoblog,286
58.Ugy6edKuI-ovgwIQ-Op4AaABAg,2020-08-30T20:08:43Z,Sei la,A 10 eu tenho fones;Mi 10 lite : eu tenho kuwai;Quem ganha? Kkkk,17,vRuOOM8S3co,"Mi 10 Lite 5G: ""lite"" é apenas força de expressão [UNBOXING/HANDS-ON]",2020-08-30T19:45:01Z,https://www.youtube.com/watch?v=vRuOOM8S3co,6312,70027,Canaltech,218
59.UgxFNzNqVMOAVhsWpoh4AaABAg,2021-04-19T03:11:30Z,Beatriz Pereira,"Ele celular é uma bosta comprei o meu a 7 dias atrás e vou amanhã trocar, muito ruim a bateria acaba muito rápido. Fui dormir um dia a bateria estava 82% e quando acordei tava 50% sério péssimo a única coisa boa é a memória. A câmera tbm não é muito boa",0,zCRDEorurB0,"LG K22 / K22+ | MUITO BARATO, mas VALE A PENA COMPRAR?",2021-01-21T21:44:55Z,https://www.youtube.com/watch?v=zCRDEorurB0,5214,120172,brasiliGEEKS,724
60.UgwVu7IGPX7144vPMER4AaABAg,2020-12-11T02:26:28Z,Claudio Dean,só queria esse carregador,0,wD0qY5ADNZY,Samsung Galaxy M51 - 7.000mah e Snapdragon 730G! Unboxing e Review Inicial Português Brasil,2020-10-05T21:00:15Z,https://www.youtube.com/watch?v=wD0qY5ADNZY,4925,72178,Authenti Tech,439
61.UgylkqQFOLi3p6ZoeIl4AaABAg,2020-11-29T06:34:00Z,Luh Hungria,o Brasil rouba demais! aqui chega até R$10.000 reais! enquanto lá cerce de R$5.000 e uns quebradinhos.,0,q0h8ynH-9FM,"TUDO sobre os iPhone 12, Mini, Pro e Pro Max | O QUE MUDOU?",2020-10-14T01:00:04Z,https://www.youtube.com/watch?v=q0h8ynH-9FM,51187,793848,Canaltech,2289
62.UgwChV3LY1B2TBNZpDp4AaABAg,2020-08-17T01:51:49Z,Fabiana Melo,"Eu comprei e nao me arrepende, otimo celular superou todas minhas expectativas..! Em questao da capinha so achei online, pq nas lojas a unica coisa q informam e q e lançamento e nao estão achando...",0,YTTS3xAXaiM,SAMSUNG GALAXY M31 - PRÓS E CONTRAS,2020-07-17T13:30:06Z,https://www.youtube.com/watch?v=YTTS3xAXaiM,3575,75672,Linuxbrs,393
63.Ugy9IhaNd1yZ9pCG8lx4AaABAg,2020-12-19T19:18:01Z,Hemerson Victor,"Rapaz, estou vendo que a câmera atrapalha a visualização dos vídeos????",0,Agc-V0-64k4,"Redmi Note 9, BARATO ou FORA DA REALIDADE? [Análise/Review]",2020-07-20T00:00:03Z,https://www.youtube.com/watch?v=Agc-V0-64k4,16268,233657,Canaltech,745
64.Ugx1U3gkmP6GXWW_0k14AaABAg,2020-08-29T03:43:16Z,Yago Mendes,Mi note 10 lite ou mi 10 lite qual melhor?,0,jZczt1PbTQ4,MELHOR e MAIS BARATO intermediário PREMIUM ! XIAOMI MI 10 LITE 5G ANÁLISE [ Review ] COMPLETA !,2020-08-21T22:00:16Z,https://www.youtube.com/watch?v=jZczt1PbTQ4,6492,115068,K Tech,482
